  FormatDate	<D> <M> <Y>
  FormExitLongHour	Часов (не менее 2)
  FormDeleteCotlKey	Ключевое слово
  FormExitFastBut	БЫСТРЫЙ ВЫХОД
  FormExitLongBut	ДОЛГИЙ ВЫХОД
  FormExitCotlMoveBut	ПЕРЕНОС СОЗВЕЗДИЯ
  FormExitCotlMovePayBut	ПЛАТНЫЙ ПЕРЕНОС СОЗВЕЗДИЯ
  FormExitDeleteCotlBut	УДАЛИТЬ СОЗВЕЗДИЕ
  FormExitNewGameBut	НАЧАТЬ ЗАНОВО
  FormExitFastText	'[justify]Нажав на кнопку "[clr]Быстрый выход[/clr]" вы в течении 60 секунд покинете игру, при этом ваше созвездие становится неактивным и на него никто не может напасть.[/justify][br][justify]Быстрый выход не работает если в вашем созвездии есть враг. Вам нужно либо очистить родной сектор от неприятеля перед выходом, либо начать долгий выход при этом защищая свою территорию до истечения времени.[/justify][br][justify]Если вы просто закроете игру, то по истечению 5 минут активируется быстрый выход.[/justify]'
  FormExitLongText	'[justify]Указав количество часов и нажав кнопку "[clr]Долгий выход[/clr]" вы установите время когда покинете игру. По истечению этого времени ваше созвездие станет неактивным и вы в течение 30 минут не сможете войти в игру.[/justify][br][justify]Если вы просто закроете игру и в вашем созвездии есть неприятель, то по истечению 15 минут активируется долгий выход.[/justify]',
  FormExitCotlMoveText	'[justify]Вы можете бесплатно перенести ваше созвездие в то место, где находится ваш флот. Если ваш рейтинг меньше [clr]50000[/clr] очков, то после переноса созвездия вы в течение [clr]23[/clr] часов не сможете повторно (бесплатно) перенести созвездие. Если ваш рейтинг больше [clr]50000[/clr] очков, то вы не сможете перенести (бесплатно) созвездие в течение [clr]14[/clr] дней.[/justify][br][justify]При переносе происходит быстрый выход. Если в вашем созвездии враг, то перенести созвездие нельзя.[/justify]
  FormExitCotlMovePayText	'[justify]Вы можете за [clr]10000[/clr] egm перенести ваше созвездие в то место, где находится ваш флот. После переноса созвездия вы в течение [clr]7[/clr] дней - не сможете повторно (платно) перенести созвездие.[/justify][br][justify]При переносе происходит быстрый выход. Если в вашем созвездии враг, то перенести созвездие нельзя.[/justify]
  FormExitCotlMoveCooldown	Перенос будет доступен через [clr]<Val>[/clr].
  FormExitDeleteCotlText	'[justify]Если вам не понравилось сгенерированное для вас созвездие, вы можете его удалить, при условии, что в нем нет неприятеля. При этом вы выходите из игры, а все корабли и планеты в вашем созвездии уничтожаются. После повторного входа в игру вам будет сгенерировано новое созвездие.[/justify][br][justify]Чтобы удалить созвездие введете ключевое слово "[clr]DELETE[/clr]"</font> а затем нажмете кнопку "[clr]Удалить созвездие[/clr]"[/justify]',
  FormExitNewGameText	'[justify]Если вы хотите начать с чистого листа, то введете ключевое слово "[clr]NEW GAME[/clr]" а затем нажмете кнопку "[clr]Начать заново[/clr]". При этом вы выходите из игры, а все ваши ресурсы, достижения и т.д. - будут удалены. (За исключением суммы egm на вашем счету.) После повторного входа в игру вы сможете начать с чистого листа.[/justify]',
  ExitNoAgain	Вы не можете повторно задать время выхода из игры.
  ExitDate	До выхода
  ExitBegin	Начат процесс выхода из игры.
  ExitTimeout	Вы не можете войти на сервер. Попробуйте зайти через: <Val>
  Ban	Заблокирован доступ в игру для этого аккаунта." 
  BanDate	Заблокирован доступ в игру для этого аккаунта.[br]Вход будет разрешен через: <Val>" 
  WarningNoAttackFleetInStealth	[center][crt]ВНИМАНИЕ![/crt] Вы не можете определить координаты флота,[br]а следовательно не можете напасть на него.
  WarningNoMoveFleetInCombat	[center][crt]ВНИМАНИЕ![/crt] Флот не может перемещаться, пока участвует в битве.
  WarningNoBuildFlagshipIsBuildShip	[center][crt]ВНИМАНИЕ![/crt] Нельзя начать строить флагман,[br]если на планете уже строятся корабли.[/center]
  WarningNoBuildNoHomeworld	[crt]ВНИМАНИЕ![/crt] Запрещено строить флот без столицы.
  WarningNoMoreBuild	[crt]ВНИМАНИЕ![/crt] На орбите планеты можно строить только одну эскадру.
  WarningNoBuild	[crt]ВНИМАНИЕ![/crt] На орбите данной планеты вы не можете построить корабли.
  WarningMaxGroup	[center][crt]ВНИМАНИЕ![/crt] На орбите планеты не может быть больше[br]6 звеньев дружественных или вражеских кораблей.[/center]
  WarningRear	[crt]ВНИМАНИЕ![/crt] Флот не может быть размещен в тылу врага.
  WarningNoFuel	[crt]ВНИМАНИЕ![/crt] Не хватает топлива.
  WarningNeedMoreFuelForFly	[crt]ВНИМАНИЕ![/crt] Требуется [clr]<Val>[/clr] ед. топлива.
  WarningNoLeaveBattle	[crt]ВНИМАНИЕ![/crt] Флот не может покинуть орбиту боя.
  WarningNoToPulsar	[crt]ВНИМАНИЕ![/crt] Вы не можете выйти на орбиту активного пульсара.
  WarningPactNoFly	[crt]ВНИМАНИЕ![/crt] Вы заключили договор, по которому не можете находиться на орбите этой планеты.
  WarningLargeRating	[center][crt]ВНИМАНИЕ![/crt] Вы не можете переместить корабли, так как[br]ваш рейтинг слишком высок для данного созвездия.[/center]" 
  WarningItemFar	[center][crt]ВНИМАНИЕ![/crt] Вы не можете переместить товар, так как ваш флот[br]не находится на орбите данного созвездия.[/center]
  WarningItemMoveHoldOverload	[center][crt]ВНИМАНИЕ![/crt] Вы не можете переместить товар,[br]так как будет переполнение трюмов.[/center]
  WarningItemMoveBattle	[center][crt]ВНИМАНИЕ![/crt] Вы не можете переместить товар,[br]так как на орбите планеты находятся вражеские корабли.[/center]
  WarningItemNoAccessOpByRank	[center][crt]ВНИМАНИЕ![/crt] Данная операция запрещена по конвенции о званиях.[/center]
  WarningFleetFar	[center][crt]ВНИМАНИЕ![/crt] Вы не можете переместить корабли, так как ваш флот[br]не находится на орбите данного созвездия.[/center]
  WarningFleetFarFuel	[center][crt]ВНИМАНИЕ![/crt] Вы не можете загрузить топливо, так как ваши корабли не[br]находятся на орбите созвездия империи или анклава.[/center]
  WarningFleetFarEx	[center][crt]ВНИМАНИЕ![/crt] Вы не можете совершить данную операцию, так как ваш флот[br]не находится на орбите данного созвездия.[/center]
  WarningFleetFromHyperspaceProtectZone	[center][crt]ВНИМАНИЕ![/crt] Для этого созвездия корабли могут выйти из гиперпространства[br]только в специальные зоны.[/center]" 
  WarningFleetFromHyperspaceEnemy	[center][crt]ВНИМАНИЕ![/crt] Если по близости враг, то корабли могут выходить из[br]гиперпространства только на дружественную планету.[/center]
  WarningFleetFromHyperspaceEnemyAll	[center][crt]ВНИМАНИЕ![/crt] В полностью занятое созвездие, корабли могут выйти[br]из гиперпространство только на необитаемые планеты.[/center]
  WarningFleetFromHyperspaceWormhole	[center][crt]ВНИМАНИЕ![/crt] Корабли не могут выходить из гиперпространства[br]на орбиту пульсара или обычной червоточины.[/center]
  WarningFleetFromHyperspaceWormholeOpen	[center][crt]ВНИМАНИЕ![/crt] Корабли не могут выходить из гиперпространства[br]на орбиту нестабилизированной червоточины.[/center]
  WarningFleetFromHyperspaceRank	[center][crt]ВНИМАНИЕ![/crt] Корабли не могут выходить из[br]гиперпространства в созвездие новичка.
  WarningFleetFromHyperspaceRank2	[center][crt]ВНИМАНИЕ![/crt] Корабли новичка не могут выходить[br]из гиперпространства в другие созвездия.
  WarningFleetToHyperspaceBattle	[center][crt]ВНИМАНИЕ![/crt] Во время боя корабли не могут[br]совершить переход в гиперпространство.[/center]
  WarningFleetToHyperspaceNoFuel	[center][crt]ВНИМАНИЕ![/crt] Корабли не могут перейти в гиперпространство,[br]так как у них должно быть не менее 2ед. топлива.[/center]
  WarningFleetToHyperspaceInCombat	[center][crt]ВНИМАНИЕ![/crt] Во время битвы запрещен ручной переход[br]кораблей в гиперпространство.[/center]
  WarningFleetFromHyperspaceNoFuel	[center][crt]ВНИМАНИЕ![/crt] Корабли не могут выйти из гиперпространства,[br]так как во флоте должно быть не менее 10ед. топлива.[/center]
  WarningFleetFromHyperspaceProtectNoFuel	[center][crt]ВНИМАНИЕ![/crt] Корабли не могут выйти из гиперпространства,[br]так как во флоте не хватает топлива.[/center]" 
  WarningFleetNoAccessShipFromHyperspace	[center][crt]ВНИМАНИЕ![/crt] В данное созвездие запрещено выходить[br]кораблям из гиперпространства.[/center]
  WarningFleetNoAccessTransportFromHyperspace	[center][crt]ВНИМАНИЕ![/crt] В данное созвездие запрещено выходить[br]транспортам из гиперпространства.[/center]
  WarningFleetNoAccessInvaderFromHyperspace	[center][crt]ВНИМАНИЕ![/crt] В данное созвездие запрещено выходить[br]штурмовикам из гиперпространства.[/center]
  WarningFleetNoAccessFlagshipFromHyperspace	[center][crt]ВНИМАНИЕ![/crt] В данное созвездие запрещено выходить[br]флагманам из гиперпространства.[/center]
  WarningFleetNoAccessShipToHyperspace	[center][crt]ВНИМАНИЕ![/crt] Из данного созвездия запрещено входить[br]кораблям в гиперпространство.[/center]
  WarningFleetNoAccessTransportToHyperspace	[center][crt]ВНИМАНИЕ![/crt] Из данного созвездия запрещено входить[br]транспортам в гиперпространство.[/center]
  WarningFleetNoAccessInvaderToHyperspace	[center][crt]ВНИМАНИЕ![/crt] Из данного созвездия запрещено входить[br]штурмовикам в гиперпространство.[/center]
  WarningFleetNoAccessFlagshipToHyperspace	[center][crt]ВНИМАНИЕ![/crt] Из данного созвездия запрещено входить[br]флагманам в гиперпространство.[/center]
  WarningFleetNoAccessItemMove	[center][crt]ВНИМАНИЕ![/crt] Для данного созвездия запрещено перемещать товар[br]между планетой и флотом.[/center]
  WarningInDevNoExtract	[center][crt]ВНИМАНИЕ![/crt] В режиме разработки, запрещено извлекать[br]из созвездия корабли и товары.[/center]
  WarningFleetAddShipOutMass	[center][crt]ВНИМАНИЕ![/crt] Корабли не могут перейти в гиперпространство,[br]так как будет превышена предельная масса флота.[/center]
  WarningFleetFormationNoFromHyperspace	[center][crt]ВНИМАНИЕ![/crt] В грузовом или транспортном построении корабли могут выходить[br]из гиперпространства только в свое личное созвездие или на планеты анклава.[/center]
  WarningFleetOutLimitCombat	[center][crt]ВНИМАНИЕ![/crt] Для битвы вы исчерпали лимит массы кораблей.[/center]
  WarningCotlWait	[center][crt]ВНИМАНИЕ![/crt] Созвездие в режиме ожидания.[br]Подождите до начала активных действий.[/center]
  WarningCotlProtectSimple	[center][crt]ВНИМАНИЕ![/crt] Созвездие находится под защитой.[/center]
  WarningCotlProtect	[center][crt]ВНИМАНИЕ![/crt] Созвездие находится под защитой. Ваши корабли не могут выйти[br]из гиперпространства в это созвездие.[/center]
  WarningCotlProtectOnlyHome	[center][crt]ВНИМАНИЕ![/crt] Когда ваше созвездие находится под защитой, вы можете выходить кораблями[br]из гиперпространства только в свое личное созвездие или на планеты анклава.[/center]
  WarningCotlOnlyBase	[center][crt]ВНИМАНИЕ![/crt] Для данного созвездия, вы можете выходить кораблями[br]из гиперпространства только в свой личный сфере.[/center]
  WarningCotlOnlyRWH	[center][crt]ВНИМАНИЕ![/crt] Для данного созвездия, вы можете выходить кораблями[br]из гиперпространства только на открытые блуждающие червоточины.[/center]
  WarningCotlProtectNoCitadel	[center][crt]ВНИМАНИЕ![/crt] Когда ваше созвездие находится под защитой, то запрещено основывать цитадель.[/center]
  WarningDestroy	<p align='center'>Вы действительно хотите взорвать корабли?</p>
  WarningLeave	<p align='center'>Вы действительно хотите покинуть планету?</p>
  WarningBomb	<p align='center'>Вы действительно хотите аннигилировать эскадру?</p>"  
  WarningNoBuildMass	[center][crt]ВНИМАНИЕ![/crt] Построить новые корабли невозможно, так как[br]ваш флот будет превышать предельно допустимую массу.[/center]
  WarningNoBuildSupport	[crt]ВНИМАНИЕ![/crt] У вас отрицательный ресурсный баланс.[br]Чтобы строить корабли нужно иметь для снабжения\nзапас ресурсов в количестве	\n\n
  WarningNoBuildBattle	[crt]ВНИМАНИЕ![/crt] Вне столицы и цитадели во время битвы нельзя строить корабли.
  WarningNoBuildInfrBattle	[crt]ВНИМАНИЕ![/crt] Во время битвы на планете нельзя строить инфраструктуру.
  WarningNoBuildSDMUser	[crt]ВНИМАНИЕ![/crt] Строить за sdm можно только в личном созвездии.
  QueryPlanetShild	<p align='justify'>Планетарный щит – предназначен для защиты планеты и кораблей на её орбите в течение 24 часов. Первый час щит снижает урон, получаемый Вашими кораблями, на 80%. Каждый следующий час эффективность щита падает на 2%. Кроме того, время захвата планеты при включенном щите увеличивается в 5 раз.</p>\n\n<p align='left'>Стоимость включения	 200 egm.</p>\n\n<p align='left'>Вы уверены, что хотите включить планетарный щит для защиты планеты?</p>
  WarningNoEgm	Для выполнения данной операции у вас не хватает игровой валюты(egm). Вы хотите пополнить счет?
  WarningNoRes	[crt]ВНИМАНИЕ![/crt] Для выполнения данной операции у вас не хватает ресурсов.
  WarningCitadelDist	[crt]ВНИМАНИЕ![/crt] Цитадель не может быть основана ближе 20 секторов от столицы.
  WarningNoCaptureLvl	[center][crt]ВНИМАНИЕ![/crt] Вы не можете захватить данную планету, так как[br]количество атакующих штурмовиков должно быть не меньше уровня инфраструктуры планеты.[/center]
  WarningNoCaptureEmpire	[center][crt]ВНИМАНИЕ![/crt] Вы не можете захватить данную планету, так как[br]у Вас предельное количество планет в империи.[/center]
  WarningNoCaptureEnclave	[center][crt]ВНИМАНИЕ![/crt] Вы не можете захватить данную планету, так как[br]у Вас предельное количество планет в анклаве.[/center]
  WarningNoCaptureColony	[center][crt]ВНИМАНИЕ![/crt] Вы не можете захватить данную планету, так как[br]у Вас предельное количество колоний.[/center]
  WarningNoCapturePlanet	[center][crt]ВНИМАНИЕ![/crt] Вы не можете захватить данную планету, так как[br]у Вас предельное количество планет во всей империи.[/center]
  WarningNoMorePortal	[crt]ВНИМАНИЕ![crt] Только одно звено кораблей может проходить через портал.
  WarningMoveGravitor	[crt]ВНИМАНИЕ![/crt] Гравитационные возмущения не позволяют выйти на орбиту планеты.
  WarningMoveGravitorPulsar	[crt]ВНИМАНИЕ![/crt] Гравитационные возмущения не позволяют кораблям выйти на орбиту пульсара.
  WarningNoMoreCpt	[center][crt]ВНИМАНИЕ![/crt] Чтобы иметь больше одного флагмана нужно[br]активировать инжектор капитанов или контроля.[/center]
  WarningNoPortalCnt	[crt]ВНИМАНИЕ![/crt] Корабли не могут перейти через портал, так как их слишком много.
  WarningNoPortalOwner	[crt]ВНИМАНИЕ![/crt] Корабли не могут перейти через вражеский портал." 
  WarningNoLeaveAccupation	[crt]ВНИМАНИЕ![/crt] Вы не можете покинуть оккупированную планету.
  WarningNoRating	[center][crt]ВНИМАНИЕ![/crt] Вы не можете войти в созвездие, так как[br]ваши рейтинги сильно отличаются.[/center]
  WarningNoAccessCombat	[center][crt]ВНИМАНИЕ![/crt] Вы не можете участвовать в этой битве.[/center]
  WarningOpBattle	[center][crt]ВНИМАНИЕ![/crt] Во время битвы данная операция запрещена.[/center]
  WarningPathNotFound	[center][crt]ВНИМАНИЕ![/crt] Если маршрут не прокладывается на большое расстояние,[br]то скорее всего вам нужно сначала просмотреть весь предполагаемый маршрут,[br] для того чтобы загрузились нужные сектора.[/center]
  WarningBuildingNeedLargePlanet	[center][crt]ВНИМАНИЕ![/crt] Данную постройку можно построить только на обитаемых планетах.[/center]
  WarningBuildingNeedSmallPlanet	[center][crt]ВНИМАНИЕ![/crt] Данную постройку можно построить только на малых планетах.[/center]
  WarningBuildingLabAndModule	[center][crt]ВНИМАНИЕ![/crt] Запрещена постройка на одной планете лаборатории и сборочного комплекса.[/center]
  WarningNoMorePilot	[center][crt]ВНИМАНИЕ![/crt] Нельзя использовать более одного механика или навигатора.[/center]
  WarningNoCancelBuildFlagshipInRelocate	[center][crt]ВНИМАНИЕ![/crt] Запрещено отменять строительство флагмана[br]в режиме перераспределения технологий.[/center]
  WarningOutWarehouse	Не работает - вне склада.
  WarningNoMoreQuarkBase	[center][crt]ВНИМАНИЕ![/crt] Запрещено иметь больше одного гравитационного разрушителя.[/center]
  WarningNeedQuarkCore	[center][crt]ВНИМАНИЕ![/crt] Требуется [clr]<Val>[/clr] кварковых ядер.[/center]
  WarningNeedSingleQuarkCore	[center][crt]ВНИМАНИЕ![/crt] Требуется одно кварковое ядро.[/center]
  WarningNeedBattleMode	[center][crt]ВНИМАНИЕ![/crt] Разрушитель должен быть в боевом режиме.[/center]
  WarningNeedReloadReactor	[center][crt]ВНИМАНИЕ![/crt] Идет перезагрузка реактора.[/center]
  WarningCotlOpNoAccessIsDev	[center][crt]ВНИМАНИЕ![/crt] Операция запрещена, так как созвездие в режиме разработки.[/center]
  WarningNoMoveInPlacing	[center][crt]ВНИМАНИЕ![/crt] Во время расстановки запрещено движение кораблей.[/center]
  WarningNoGravWellRadiation	[center][crt]ВНИМАНИЕ![/crt] При радиации нельзя активировать гравитационный колодец.[/center]
  WarningNoOpEnemy	[center][crt]ВНИМАНИЕ![/crt] Даная операция невозможна, так как созвездие[br]блокируют вражеские корабли.[/center]
  WarningQuarkBasePortalLimit	[crt]ВНИМАНИЕ![/crt] Разрушитель можно портировать только в личное[br]созвездие, между планетами анклава или на орбиту цитадели.
  WarningAutoPilotOn	[center][clr]ВНИМАНИЕ![/clr] Активация пилотов.[/center]
  WarningAutoPilotOff	[center][clr]ВНИМАНИЕ![/clr] Пилоты отключены.[/center]
  ButBuyEgm	Пополнить счет
  LostQuery	Сервер не ответил на запрос" 
  NoCacheFlash	У вас отключено локальное хранилище, без которого невозможно играть.
  NoCacheFlashAIR	Чтобы продолжить вы должны войти в игру через сайт и включить локальное хранилище. После чего вы можете играть как в браузере так и в клиентской версии игры.
  FindHelp	Примеры	\n импорт созвездие гурт\n экспорт топлива объемом 10000... по цене 1...100 за 1000 ед\n\nДистанция поиска	 <font color='#ffff00'>500</font> секторов.\n
  FindError	 "Некорректный запрос.
  FindNotFound	 "Не найдено.
  Hint	hint
  GalaxyAward	Альянс, который честно и не нарушая правил игры захватил 80% галактики, получает весь банк в размере [clr]<Val>[/clr] WMR. Деньги перечисляются на кошелек лидера альянса.
  Zone0	Дальний космос
  Zone1	Враждебная зона
  Zone2	Умеренная зона
  Zone3	Защищенная зона
  ZoneModuleMul	Приход модулей
  ZoneRatingRange	Если разместить свое созвездие в этой зоне, то на вас сможет напасть игрок с рейтингом развития в диапазоне [clr]<Min>[/clr]...[clr]<Max>[/clr].
  ZoneRatingRangeAny	Если разместить свое созвездие в дальнем космосе, то на вас сможет напасть любой игрок."
